Abbreviation,Latin name,Common name
Q.r.,Quercus rubra,Red Oak
A.r.,Acer rubrum,Red Maple
A.s.,Acer saccharum,Sugar Maple
F.a.,Fraxinus americana,White Ash
O.v.,Ostraya virginiana,American Hop Hornbeam
T.a.,Tilia americana,Basswood
F.g.,Fagus grandifolia,American Beech
U.a.,Ulmus americana,American Elm
C.o.,Carya ovata,Shagbark Hickory
S.a.,Sassafras albidum,Sassafras
A.a.,Amelanchier arborea,Juneberry
C.f.,Cornus florida,Flowering Dogwood
C.c.,Carya cordiformis,Bitternut Hickory
Q.a.,Quercus alba,White Oak
P.g.,Populus grandidentata,Big-tooth Aspen
J.c.,Juglans cinera,Butternut
P.s.,Prunus serotina,Wild Black Cherry
M.p.,Malus pumila,Apple
A.sa.,Acer saccharinum,Silver Maple
F.n.,Fraxinus nigra,Black Ash
C.ca.,Carpinus caroliniana,Blue Beech
C.sp.,Crateagus sp.,Hawthorn